t_ms,velocidade_rad_s
7100,12.069448
7121,12.071862
7140,12.071862
7161,12.071862
7180,12.214862
7201,12.144584
7220,12.144584
7241,12.217307
7260,12.217307
7280,12.142155
7300,12.144584
7320,12.217307
7340,12.144584
7360,12.144584
7381,12.217307
7400,12.142155
7421,12.142155
7440,12.217307
7461,12.071862
7480,12.217307
7501,12.217307
7520,12.217307
7541,12.217307
7560,12.214862
7580,12.214862
7600,12.217307
7620,12.217307
7640,12.217307
7660,12.217307
7681,12.214862
7700,12.217307
7721,12.217307
7740,12.144584
7761,11.999140
7780,12.144584
7801,11.996740
7820,12.144584
7841,11.996740
7860,12.067035
7881,11.996740
7900,12.071862
7920,12.144584
7940,12.071862
7960,12.071862
7980,12.217307
8000,12.142155
8021,12.144584
8040,12.217307
8061,12.217307
8080,12.142155
8101,12.144584
8120,12.217307
8141,12.137301
8160,12.071862
8181,12.071862
8200,12.071862
8220,12.142155
8240,12.071862
8260,12.069448
8280,12.069448
8300,11.996740
8321,11.996740
8340,11.999140
8361,12.069448
8380,11.999140
8401,12.071862
8420,12.071862
8441,11.999140
8460,12.069448
8481,12.067035
8500,12.144584
8521,12.071862
8540,12.139728
8560,12.144584
8580,12.217307
8600,12.142155
8621,12.214862
8640,12.144584
8661,12.217307
8680,12.217307
8701,12.214862
8720,12.214862
8741,12.217307
8760,11.999140
8781,11.996740
8800,12.071862
8821,12.071862
8840,12.069448
8860,12.071862
8880,12.069448
8900,12.069448
8921,12.071862
8940,12.064622
8961,11.924033
8980,11.562808
9001,10.908309
9020,11.126475
9041,11.199197
9060,11.344641
9081,11.487788
9100,11.487788
9121,11.560495
9140,11.635529
9161,11.635529
9180,11.490086
9200,11.269665
9221,11.344641
9240,11.344641
9261,11.490086
9280,11.490086
9301,11.562808
9320,11.635529
9341,11.708251
9360,11.780974
9381,11.780974
9400,11.926418
9421,11.851325
9440,11.924033
9461,11.926418
9480,11.999140
9500,11.926418
9521,11.926418
9540,11.926418
9561,11.924033
9580,11.924033
9601,12.071862
9620,12.071862
9641,12.069448
9660,12.144584
9681,12.142155
9700,12.214862
9721,12.139728
9740,12.142155
9761,12.144584
9780,12.144584
9801,12.214862
9821,11.926418
9840,12.069448
9861,12.069448
9880,12.142155
9901,12.071862
9920,12.069448
9941,11.999140
9960,11.926418
9981,11.999140
10000,11.996740
10021,12.071862
10040,12.071862
10061,12.071862
10080,12.071862
10101,12.069448
10121,12.071862
10140,12.071862
10161,12.139728
10180,12.142155
10201,12.144584
10220,11.999140
10241,11.635529
10260,11.633202
10281,11.708251
10300,11.778617
10321,11.851325
10340,11.926418
10361,11.853695
10380,11.999140
10401,11.996740
10421,11.999140
10441,12.071862
10461,12.071862
10480,12.069448
10501,11.994342
10520,11.999140
10541,12.071862
10560,11.926418
10581,12.071862
10600,11.926418
10621,11.926418
10640,11.853695
10661,11.851325
10680,11.780974
10701,11.780974
10721,11.853695
10741,11.708251
10761,11.778617
10780,11.924033
10801,11.924033
10820,11.926418
10841,11.996740
10860,11.999140
10881,11.999140
10900,12.071862
10921,11.999140
10940,12.144584
10961,12.069448
10980,12.142155
11001,11.924033
11021,11.635529
11041,11.635529
11061,11.635529
11081,11.703570
11101,11.853695
11120,11.778617
11141,11.846587
11160,11.919265
11181,11.999140
11200,11.996740
11221,12.069448
11240,11.996740
11261,11.924033
11280,12.071862
11301,11.924033
11321,12.069448
11341,11.926418
11361,11.846587
11381,11.853695
11401,11.780974
11420,11.778617
11441,11.924033
11460,11.780974
11481,11.778617
11500,11.853695
11521,11.851325
11540,11.926418
11561,11.780974
11580,11.926418
11601,11.924033
11621,11.926418
11641,11.926418
11661,11.996740
11681,11.996740
11701,11.853695
11721,11.926418
11741,11.926418
11760,11.926418
11781,11.924033
11800,11.926418
11821,11.996740
11840,11.926418
11861,11.924033
11880,11.780974
11901,11.778617
11921,11.853695
11941,11.851325
11961,11.924033
11981,11.926418
12001,11.926418
12021,11.924033
12041,11.924033
12060,11.924033
12081,11.999140
12100,11.999140
12121,11.926418
12140,11.999140
12161,11.924033
12180,11.924033
12201,11.853695
12221,11.778617
12241,11.853695
12261,11.851325
12281,11.926418
12301,11.999140
12321,11.999140
12341,11.926418
12361,11.999140
12381,11.708251
12400,11.633202
12421,11.705909
12440,11.705909
12461,11.926418
12480,11.780974
12501,11.996740
12521,11.926418
12541,11.924033
12561,11.851325
12581,11.708251
12601,11.705909
12621,11.708251
12641,11.780974
12661,11.708251
12681,11.780974
12700,11.778617
12721,11.853695
12740,11.851325
12761,11.926418
12780,11.853695
12801,11.926418
12820,11.851325
12841,11.780974
12861,11.851325
12881,11.851325
12901,11.780974
12921,11.417364
12941,11.196957
12961,10.981031
12981,10.471977
13001,10.174983
13021,9.599312
13040,9.379270
13061,9.235702
13080,9.235702
13101,8.943025
13121,8.799369
13141,8.724902
13161,8.799369
13181,8.581203
13201,8.581203
13221,8.797610
13241,8.799369
13261,8.944814
13281,8.870317
13301,8.652194
13321,8.726648
13340,8.799369
13361,8.799369
13380,8.944814
13401,8.944814
13420,9.162980
13441,9.308423
13461,9.381146
13481,9.526590
13501,9.672034
13521,9.817478
13541,9.962923
13561,10.179053
13581,10.399254
13601,10.471977
13621,10.617421
13641,10.544698
13661,10.688005
13680,10.762866
13701,10.908309
13720,10.906127
13741,10.981031
13761,10.981031
13781,11.196957
13801,11.126475
13821,11.124250
13841,11.199197
13861,11.199197
13881,11.342372
13901,11.487788
13921,11.562808
13941,11.562808
13961,11.415080
13980,11.562808
14001,11.412798
14020,11.271920
14041,11.412798
14061,11.417364
14081,11.344641
14101,11.483195
14121,11.415080
14141,11.415080
14161,11.412798
14181,11.271920
14201,11.126475
14221,10.981031
14241,11.126475
14261,11.126475
14281,11.342372
14301,11.344641
14320,11.490086
14341,11.560495
14361,11.560495
14381,11.344641
14401,11.271920
14421,11.271920
14441,11.342372
14461,11.417364
14481,11.271920
14501,11.344641
14521,11.271920
14541,11.051542
14561,10.762866
14581,10.762866
14601,10.981031
14620,11.053752
14641,10.688005
14661,10.690143
14681,10.908309
14701,11.053752
14721,11.199197
14741,11.344641
14761,11.487788
14781,11.635529
14801,11.412798
14821,11.417364
14841,11.487788
14861,11.490086
14881,11.562808
14901,11.703570
14921,11.562808
14941,11.705909
14961,11.490086
14981,10.981031
15001,10.835587
15021,11.053752
15041,11.269665
15061,11.344641
15081,11.417364
15101,11.490086
15121,11.560495
15141,11.705909
15161,11.778617
15181,11.853695
15201,11.853695
15221,11.926418
15241,11.996740
15262,11.851325
15281,11.776263
15301,11.344641
15321,10.978835
15341,11.124250
15361,11.344641
15381,11.417364
15401,11.562808
15421,11.633202
15441,11.490086
15461,11.490086
15481,11.490086
15501,11.487788
15521,11.635529
15541,11.490086
15562,11.344641
15581,11.340106
15601,11.342372
15621,11.417364
15641,11.344641
15661,11.560495
15681,11.635529
15701,11.633202
15721,11.780974
15741,11.780974
15761,11.780974
15781,11.853695
15801,11.780974
15821,11.853695
15841,11.926418
15861,11.926418
15881,11.924033
15902,11.926418
15921,11.996740
15941,11.996740
15961,12.069448
15981,11.999140
16001,12.071862
16021,11.999140
16041,11.996740
16061,11.996740
16081,12.071862
16101,11.926418
16121,11.996740
16141,11.996740
16161,12.071862
16181,11.996740
16202,12.144584
16221,12.071862
16241,12.071862
16261,12.071862
16281,12.071862
16301,12.069448
16321,12.069448
16341,12.217307
16361,12.069448
16381,12.144584
16401,12.137301
16421,12.069448
16441,12.071862
16461,12.142155
16481,12.144584
16502,12.071862
16521,12.214862
16542,12.144584
16561,12.142155
16581,12.071862
16601,12.217307
16621,12.144584
16641,12.144584
16661,12.071862
16681,12.214862
16701,12.142155
16721,12.142155
16741,12.217307
16761,12.144584
16781,12.144584
16802,12.214862
16821,12.287570
16842,12.217307
16861,12.287570
16881,12.214862
16901,12.217307
16921,12.287570
16941,12.217307
16961,12.282658
16981,12.217307
17001,12.214862
17021,12.214862
17041,12.217307
17061,12.144584
17081,12.214862
17102,12.217307
17121,12.217307
17142,12.214862
17161,12.142155
17182,12.217307
17201,12.217307
17221,12.069448
17241,12.214862
17261,12.217307
17281,12.144584
17301,12.214862
17321,12.214862
17341,12.217307
17361,12.287570
17381,12.217307
17402,12.362750
17421,12.290028
17442,12.290028
17461,12.362750
17482,12.362750
17501,12.362750
17521,12.362750
17541,12.287570
17561,12.287570
17581,12.217307
17601,12.287570
17621,12.217307
17641,12.214862
17661,12.214862
17681,12.142155
17702,12.144584
17721,12.144584
17742,12.069448
17761,12.071862
17782,12.217307
17801,12.071862
17822,11.417364
17841,10.615297
17861,10.253810
17881,9.890200
17901,9.744756
17921,9.453868
17941,9.308423
17961,9.306562
17981,9.306562
18002,9.306562
18021,9.232008
18042,9.235702
18061,9.308423
18082,9.381146
18101,9.306562
18122,9.235702
18141,9.235702
18161,9.451977
18181,9.742807
18201,10.108366
18221,10.326532
18241,10.688005
18261,10.690143
18281,10.833420
18302,10.981031
18321,11.199197
18342,11.342372
18361,11.487788
18382,11.490086
18401,11.635529
18422,11.635529
18441,11.846587
18462,11.848956
18481,11.851325
18501,11.999140
18521,11.999140
18541,11.996740
18561,11.999140
18581,11.996740
18602,11.996740
18621,11.999140
18642,12.071862
18661,12.069448
18682,12.069448
18701,12.071862
18722,12.071862
18741,12.069448
18762,12.144584
18781,12.071862
18801,11.999140
18821,11.999140
18841,11.999140
18861,12.071862
18881,11.999140
18902,11.996740
18921,12.144584
18942,11.999140
18961,11.996740
18982,11.558184
19001,10.835587
19022,10.978835
19041,11.196957
19062,11.344641
19081,11.487788
19102,11.635529
19121,11.633202
19141,11.853695
19161,11.851325
19181,11.926418
19202,12.071862
19221,11.924033
19242,11.996740
19261,11.999140
19282,11.926418
19301,11.924033
19322,11.999140
19341,11.999140
19362,11.926418
19381,12.071862
19402,12.069448
19421,11.926418
19441,12.071862
19461,12.069448
19481,12.071862
19502,12.071862
19521,11.999140
19542,12.069448
19561,11.996740
19582,12.142155
19601,12.071862
19622,12.144584
19641,11.996740
19662,12.071862
19681,11.999140
19702,11.926418
19721,12.071862
19742,12.069448
19761,12.069448
19781,12.071862
19802,11.926418
19821,11.996740
19842,11.853695
19861,11.926418
19882,11.994342
19901,11.921649
19922,11.926418
19941,11.926418
19962,11.853695
19981,11.924033
