t_ms,velocidade_rad_s
7100,2.908300
7121,2.908882
7140,2.836160
7161,2.908882
7180,2.908882
7201,2.835593
7220,2.908882
7241,2.908882
7260,2.908882
7280,2.908882
7300,2.908300
7320,2.908882
7340,2.908882
7360,2.908300
7380,2.908300
7400,2.835593
7420,2.908300
7440,2.835593
7461,2.907719
7480,2.762885
7501,2.762885
7520,2.762885
7541,2.763438
7560,2.762885
7580,2.617994
7600,2.762885
7620,2.690716
7640,2.690178
7660,2.690178
7680,2.690178
7700,2.762885
7721,2.617470
7740,2.763438
7761,2.690716
7780,2.690178
7801,2.617994
7820,2.762885
7841,2.690716
7860,2.690178
7881,2.617994
7900,2.762885
7920,2.617470
7940,2.690178
7960,2.690178
7980,2.617994
8000,2.617994
8021,2.617470
8040,2.617994
8061,2.617994
8080,2.617470
8101,2.617994
8120,2.617470
8141,2.617994
8160,2.617994
8181,2.617470
8200,2.690178
8220,2.690178
8240,2.690178
8260,2.690716
8280,2.617994
8300,2.762885
8321,2.617994
8340,2.763438
8361,2.762885
8380,2.762885
8401,2.690716
8420,2.762885
8441,2.763438
8460,2.836160
8481,2.763438
8500,2.762885
8521,2.763438
8540,2.763438
8560,2.836160
8580,2.836160
8600,2.763438
8621,2.762885
8640,2.763438
8661,2.763438
8680,2.762885
8701,2.763438
8720,2.763438
8741,2.762885
8760,2.763438
8781,2.908300
8800,2.835593
8821,2.908882
8840,2.980412
8860,2.908300
8880,2.908882
8900,2.908882
8921,2.981604
8940,2.981604
8961,2.908300
8980,3.053715
9001,2.908300
9020,2.981604
9041,2.981604
9060,2.981008
9081,2.981604
9100,2.908300
9121,2.981604
9140,2.981604
9161,2.908300
9180,2.908300
9200,2.908882
9220,2.981604
9240,2.981604
9261,2.908882
9280,2.762885
9301,2.763438
9320,2.836160
9341,2.835593
9360,2.908300
9381,2.908882
9400,2.835593
9421,2.908882
9440,2.908882
9461,2.981008
9480,2.908300
9500,2.908882
9520,2.980412
9540,2.836160
9561,2.835593
9580,2.836160
9601,2.908882
9620,2.763438
9641,2.908300
9660,2.763438
9681,2.908882
9700,2.835593
9721,2.763438
9740,2.836160
9761,2.763438
9780,2.762885
